Trig Name,STATION NAME,New Name,EASTING,NORTHING,HEIGHT,ORDER,TYPE OF MARK,SECONDARY COMPUTING BLOCK,Computing Date,Maintained,CLASS OF LEVELLING,Date of Levelling,LEVELLING DATUM,DESTROYED MARK INDICATOR,COMMENTS
Achvraie,NC20/DMH137,NC20H137,204191.65,906005.89,0,4,BOLT,NC20,01/06/1972,,0,,,0,
Ackhurst Farm,SD30/T330,SD30T330,356783.94,418016.98,0,4,BURIED BLK,SD30,01/06/1955,01/03/1961,0,,,0,
Acklam Road,NZ42/T97,NZ42T097,446603.03,517282.98,0,3,BURIED BLK,NZ42,01/06/1948,,0,,,1,Dest 11/61
Ackleton,SJ90/1,SJ90S001,377326.208,298156.487,100.059,2,PILLAR,SJ90,01/06/1948,01/06/1982,1,01/03/1961,N,0,
Ackton Hall Colly,SE44/T61,SE44T061,442254.78,420465.65,0,4,BOLT,SE44,01/06/1947,,0,,,1,Dest 08/78
Ackworth Colly,SE44/T68,SE44T068,443469.13,418465.55,0,4,BOLT,SE44,01/06/1947,,0,,,1,Dest 09/86
Acme Mill,SD80/T2,SD80T002,378553.68,401691.87,0,3,BOLT,SD80,01/06/1945,,0,,,1,Dest 04/84
Acme Mill,SD80/T2,SD80T002,378554.35,401691.32,0,3,FLAGSTAFF,SD80,01/06/1945,,0,,,1,Dest 04/84
Acme Works Wtr Twr,TQ47/T73,TQ47T073,545348.96,183049.76,0,3,BOLT,TQ47,01/06/1945,,0,,,1,Dest 01/70
Acomb Ch Sp,SE44/INT5,SE44I005,457239.94,451443.76,0,3,SPIRE,SE44,01/06/1947,,0,,,1,Recomputed 1986
Acomb Ch Sp,SE44/INT5,SE44I005,457239.96,451443.74,0,3,SPIRE,SE97,01/09/1986,,0,,,0,
Aconbury Camp,SO52/1,SO52S001,350583.316,232996.527,276.029,2,PILLAR,SO52,01/06/1954,01/08/1981,1,01/07/1961,N,0,
Acre,PP132,PP132,512111.868,396465.657,168.133,1,PILLAR,FIG2,01/06/1936,01/12/1980,1,01/06/1970,N,0,
Acre Lane,SK58/T118,SK58T118,444763.25,371159.22,0,4,BURIED BLK,SK58,01/06/1957,01/05/1962,0,,,0,
Acton Ch Twr,SJ95/1,SJ95S001,363159.359,353088.167,0,2,BOLT,SJ95,01/06/1947,01/09/1978,0,,,0,
Acton Ch Twr,SJ95/1,SJ95S001,363157.37,353086.04,0,3,VANE,SJ95,01/06/1947,,0,,,1,Dest 11/56
Acton Ch Twr,TQ47/2,TQ47S002,520012.184,180171.083,0,2,BOLT,TQ47,01/06/1945,01/11/1969,0,,,0,
Acton Ch Twr,TQ47/2,TQ47S002,520013.16,180171.83,0,3,FLAGSTAFF,TQ47,01/06/1945,01/11/1969,0,,,0,
Acton Hill,SJ82/T70,SJ82T070,394628.93,319517.03,0,4,BURIED BLK,SJ82,01/06/1954,,0,,,1,Dest 05/88
Acton Trussell,SJ82/T1,SJ82T001,393989.56,318042.04,98.953,3,PILLAR,SJ82,01/06/1948,01/08/1985,1,01/05/1954,N,0,
Ada Lewis Hostel Holloway,TQ47/T120,TQ47T120,530029.07,185381.45,0,3,BOLT,TQ47,01/06/1945,01/04/1980,0,,,1,
Ada Lewis House New Kent Road,TQ47/T172,TQ47T172,532643.81,178938.56,0,3,BOLT,TQ47,01/06/1945,01/02/1987,0,,,0,
Adams Viaduct,SD30/T192,SD30T192,357161.57,405098.81,30.184,4,BLOCK,SD30,01/06/1951,01/12/1960,1,01/11/1963,N,0,
Adbolton Hall,SK73/T119,SK73T119,460016.94,338391.01,0,4,BOLT,SK73,01/06/1950,,0,,,0,
Addenbrookes Hospl,TL36/T101,TL36T101,546475.41,255084.4,0,3,AERIAL,TL36,01/06/1983,,0,,,0,
Addenbrookes Hospl,TL36/T101,TL36T101,546467.43,255078.93,0,3,BOLT,TL36,01/06/1983,,0,,,0,
Adderbury Ch Sp,SP42/INT1,SP42I001,447070.1,235375.42,0,3,SPIRE,SP42,01/06/1952,,0,,,1,Recomp 1986
Adderbury Ch Sp,SP42/INT1,SP42I001,447070.1,235375.45,0,3,SPIRE,SP42,01/04/1986,01/10/1986,0,,,0,
Adderley Hall Twr Turret,SJ44/T1,SJ44T001,365588.48,339996.16,0,3,BOLT,SJ44,01/06/1948,,0,,,1,Dest 10/54
Addiewell Ch Sp,NT18/INT15,NT18I015,299062.42,662520.4,0,4,SPIRE,NS77,01/06/1952,01/04/1958,0,,,1,Destroyed 02/89
Addiewell Works Chy,NT18/INT16,NT18I016,300048.89,662655.36,0,4,CHIMNEY,NS77,01/06/1952,,0,,,1,Dest 01/65
Addington Golf Course,TQ47/T350,TQ47T350,536755.62,164313.57,0,4,BURIED BLK,TQ47,01/06/1950,,0,,,0,
Addington Recreation Ground,TQ47/T424,TQ47T424,537728.49,162535.67,0,4,BLOCK,TQ47,01/06/1952,,0,,,0,
Addington Silo,TQ47/INT3,TQ47I003,537973.14,162147.93,0,3,APEX,TQ47,01/06/1945,,0,,,1,Dest 06/50
Addington Wtr Twr,TQ47/T314,TQ47T314,535396.32,164063.09,0,4,BOLT,TQ47,01/06/1949,,0,,,0,
